Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (mi),Avg Speed(mi/hr)),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (ft),Elevation Descended (ft)
Walking,2022-08-12 08:57:00,2022-08-12 09:51,00:53:47,300.85,198.72,136,87.29,2.14,2.77,4261,0,0.0,0.0,6.0,71.26,0
Functional Strength Training,2022-08-11 18:20:00,2022-08-11 18:36,00:15:22,153.0,109.54,145,120.3,0.0,0.0,242,0,0.0,0.0,0.0,0.0,0
Cycling,2022-08-10 21:21:00,2022-08-10 21:30,00:09:14,100.73,64.93,168,151.7,2.02,13.15,736,0,0.0,0.0,0.0,7.61,0
Walking,2022-08-10 18:55:00,2022-08-10 19:26,00:30:46,131.82,85.35,119,103.09,0.869,1.69,1654,0,0.0,0.0,1.0,0.0,0
Walking,2022-08-10 17:53:00,2022-08-10 18:08,00:14:30,85.3,63.16,135,118.41,0.783,3.24,1426,0,0.0,0.0,1.0,0.0,0
Cycling,2022-08-10 17:40:00,2022-08-10 17:53,00:13:24,98.95,78.15,176,143.44,2.59,11.59,1367,0,0.0,0.0,0.0,0.0,0
Cycling,2022-08-10 16:20:00,2022-08-10 17:05,00:45:06,525.81,433.59,151,138.05,0.0,0.0,45,0,0.0,0.0,0.0,0.0,0
Cycling,2022-08-10 16:20:00,2022-08-10 17:05,00:45:16,714.28,622.0,151,138.13,14.67,19.44,45,0,0.0,0.0,0.0,0.0,0
Walking,2022-08-10 09:08:00,2022-08-10 09:54,00:45:41,258.25,169.03,126,101.72,1.95,2.95,3741,0,0.0,0.0,1.0,0.0,0
Walking,2022-08-10 08:34:00,2022-08-10 08:52,00:18:22,138.67,92.46,97,87.56,0.987,3.23,1849,0,0.0,0.0,0.0,0.0,0
Walking,2022-08-09 18:08:00,2022-08-09 18:32,00:23:38,125.73,87.37,107,94.44,1.0,2.54,1907,0,0.0,0.0,0.0,0.0,0
Walking,2022-08-09 17:11:00,2022-08-09 17:28,00:17:43,128.53,83.82,124,112.2,0.894,3.03,1303,0,0.0,0.0,0.0,0.0,0
Traditional Strength Training,2022-08-09 13:52:00,2022-08-09 14:54,01:02:21,547.96,435.42,156,119.52,0.0,0.0,475,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2022-08-09 13:35:00,2022-08-09 13:47,00:11:43,92.35,74.47,140,112.86,0.0,0.0,28,0,0.0,0.0,0.0,0.0,0
Walking,2022-08-09 11:29:00,2022-08-09 12:05,00:36:14,221.65,165.87,165,90.39,1.88,3.28,2744,0,0.0,0.0,7.0,74.54,0
Cycling,2022-08-08 12:24:00,2022-08-08 12:52,00:28:04,415.02,359.4,182,155.39,0.0,0.0,8,0,0.0,0.0,0.0,0.0,0
Jump Rope,2022-08-08 10:54:00,2022-08-08 10:59,00:04:53,59.48,32.14,124,110.32,0.19,2.33,373,0,0.0,0.0,0.0,0.0,0
Yoga,2022-08-08 08:50:00,2022-08-08 09:20,00:30:49,222.65,154.88,107,81.83,0.0,0.0,8,0,0.0,0.0,0.0,0.0,0
Other,2022-08-07 16:32:00,2022-08-07 16:42,00:10:05,99.8,63.51,114,98.63,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Traditional Strength Training,2022-08-07 15:51:00,2022-08-07 16:32,00:41:36,365.2,301.94,162,121.02,0.0,0.0,450,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2022-08-07 15:36:00,2022-08-07 15:49,00:13:25,106.66,86.18,164,121.15,0.0,0.0,243,0,0.0,0.0,0.0,0.0,0
Walking,2022-08-06 21:25:00,2022-08-06 21:40,00:14:55,80.87,45.77,125,113.41,0.641,2.58,1295,0,0.0,0.0,1.0,0.0,0
Cycling,2022-08-03 18:29:00,2022-08-03 18:47,00:18:03,128.91,80.96,153,138.06,2.96,9.83,903,0,0.0,0.0,0.0,12.4,0
Walking,2022-08-03 10:08:00,2022-08-03 10:10,00:02:13,23.81,1.93,90,81.44,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Yoga,2022-08-02 08:39:00,2022-08-02 09:10,00:30:28,208.09,139.89,145,76.11,0.0,0.0,9,0,0.0,0.0,0.0,0.0,0
Walking,2022-08-01 16:06:00,2022-08-01 17:07,01:01:04,252.53,140.81,114,83.12,1.5,2.83,2588,0,0.0,0.0,0.0,8.07,0
Walking,2022-07-31 22:01:00,2022-07-31 22:33,00:31:53,190.7,123.06,106,97.16,1.44,2.7,2705,0,0.0,0.0,0.0,0.0,0
Running,2022-07-31 12:22:00,2022-07-31 12:27,00:04:58,72.29,64.29,179,159.17,0.648,7.84,1136,0,0.0,0.0,0.0,6.63,0
High Intensity Interval Training,2022-07-31 10:21:00,2022-07-31 11:08,00:46:21,668.2,577.41,194,161.32,0.0,0.0,1900,0,0.0,0.0,0.0,0.0,0
Golf,2022-07-29 09:18:00,2022-07-29 09:49,00:30:18,172.6,125.67,137,93.93,0.313,0.621,637,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2022-07-28 11:07:00,2022-07-28 11:17,00:10:11,119.43,68.8,166,126.91,0.0,0.0,148,0,0.0,0.0,0.0,0.0,0
Yoga,2022-07-28 08:41:00,2022-07-28 08:52,00:10:29,63.04,46.85,98,81.5,0.0,0.0,18,0,0.0,0.0,0.0,0.0,0
Traditional Strength Training,2022-07-27 11:01:00,2022-07-27 12:02,01:00:45,462.69,371.1,168,117.26,0.0,0.0,263,0,0.0,0.0,0.0,0.0,0
Walking,2022-07-27 07:57:00,2022-07-27 09:04,01:06:58,327.87,212.55,150,97.35,2.2,3.12,4219,0,0.0,0.0,6.0,75.33,0
