date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2019-06-30,85.0,100.0,100.0,95.0,98.0,66.0,78.0,31.0,40230.0,43140.0,2910.0,10140.0,23880.0,6210.0,44.0,93.0,390.0,21120.0,2019-06-29T23:25:07-05:00,2019-06-30T11:24:07-05:00,52.07,47.0,65.0,0.25,0.25,13.0,69,85,100,1,71,93,309.0,2352.0,5985.0,5266.0,28440.0,39600.0,12000.0,1020.0,600.0,4740.0,1.34375,0.0,91.0,85,100,None,87,84.0,100.0,None,91.0
2019-07-01,86.0,96.0,98.0,78.0,97.0,75.0,99.0,37.0,32280.0,35100.0,2820.0,8370.0,18960.0,4950.0,41.0,92.0,870.0,17670.0,2019-07-01T00:10:35-05:00,2019-07-01T09:55:35-05:00,51.09,45.0,68.0,0.14,0.37,12.625,70,78,95,1,96,96,488.0,2577.0,7824.0,8473.0,31980.0,35400.0,15300.0,1440.0,900.0,1380.0,1.46875,1.0,91.0,87,100,70,84,93.0,100.0,None,87.0
2019-07-02,84.0,100.0,98.0,73.0,93.0,75.0,72.0,38.0,33450.0,37560.0,4110.0,8280.0,20520.0,4650.0,42.0,89.0,300.0,18840.0,2019-07-01T23:49:28-05:00,2019-07-02T10:15:28-05:00,51.02,44.0,57.0,0.0,0.37,13.0,70,76,100,1,96,96,387.0,2471.0,6702.0,6422.0,32460.0,34680.0,13140.0,1080.0,720.0,4320.0,1.40625,0.0,88.0,83,100,59,74,100.0,96.0,None,100.0
2019-07-03,87.0,100.0,100.0,97.0,95.0,67.0,97.0,27.0,34260.0,38160.0,3900.0,10950.0,16200.0,7110.0,37.0,90.0,960.0,18510.0,2019-07-03T00:17:28-05:00,2019-07-03T10:53:28-05:00,52.4,46.0,65.0,-0.1,0.26,12.875,72,86,100,1,100,97,505.0,2555.0,9623.0,9127.0,27900.0,39120.0,14580.0,2280.0,840.0,1680.0,1.4375,0.0,86.0,90,100,65,72,100.0,78.0,None,100.0
2019-07-04,76.0,70.0,62.0,96.0,95.0,71.0,83.0,71.0,25050.0,27840.0,2790.0,4710.0,13530.0,6810.0,39.0,90.0,540.0,13710.0,2019-07-04T00:08:50-05:00,2019-07-04T07:52:50-05:00,51.82,47.0,65.0,0.11,0.27,11.875,71,100,100,1,96,96,52.0,1987.0,1238.0,1005.0,3300.0,24960.0,2220.0,180.0,0.0,55740.0,1.15625,0.0,80.0,64,100,63,64,95.0,100.0,None,45.0
2019-07-05,72.0,75.0,62.0,72.0,95.0,65.0,86.0,45.0,26370.0,29220.0,2850.0,4710.0,17040.0,4620.0,38.0,90.0,600.0,14610.0,2019-07-05T00:45:49-05:00,2019-07-05T08:52:49-05:00,63.32,52.0,37.0,-0.14,0.23,12.875,75,69,100,25,96,95,362.0,2452.0,7457.0,6249.0,36360.0,32580.0,14700.0,960.0,540.0,1260.0,1.40625,0.0,60.0,55,96,None,72,100.0,32.0,None,44.0
2019-07-06,86.0,100.0,98.0,83.0,96.0,74.0,75.0,45.0,35220.0,38820.0,3600.0,8130.0,21840.0,5250.0,47.0,91.0,330.0,18240.0,2019-07-05T23:45:56-05:00,2019-07-06T10:32:56-05:00,52.25,47.0,62.0,-0.07,0.18,13.0,79,100,100,25,96,91,192.0,2180.0,4532.0,3551.0,10500.0,32040.0,9420.0,780.0,120.0,33540.0,1.25,0.0,90.0,87,100,70,69,100.0,95.0,None,100.0
2019-07-07,74.0,74.0,71.0,83.0,95.0,80.0,78.0,32.0,26340.0,29160.0,2820.0,5310.0,15720.0,5310.0,40.0,90.0,390.0,13950.0,2019-07-07T01:21:33-05:00,2019-07-07T09:27:33-05:00,55.15,49.0,52.0,-0.19,0.09,12.5,71,60,100,25,96,75,208.0,2257.0,4929.0,3703.0,39720.0,35580.0,9360.0,840.0,60.0,840.0,1.28125,0.0,69.0,59,95,36,75,99.0,72.0,None,50.0
2019-07-08,90.0,100.0,98.0,88.0,90.0,79.0,97.0,57.0,33450.0,38160.0,4710.0,8400.0,19410.0,5640.0,37.0,88.0,840.0,18120.0,2019-07-07T23:23:51-05:00,2019-07-08T09:59:51-05:00,50.98,45.0,63.0,-0.08,0.08,12.875,73,100,100,25,71,65,241.0,2240.0,5699.0,4728.0,14160.0,34680.0,11280.0,1200.0,60.0,25020.0,1.28125,0.0,94.0,97,97,81,78,100.0,100.0,None,100.0
2019-07-09,84.0,92.0,97.0,95.0,90.0,78.0,81.0,41.0,30900.0,35220.0,4320.0,7830.0,16890.0,6180.0,37.0,88.0,480.0,16530.0,2019-07-09T00:20:36-05:00,2019-07-09T10:07:36-05:00,52.62,49.0,63.0,-0.03,0.12,12.5,70,93,100,25,40,73,443.0,2500.0,9808.0,8250.0,24840.0,37620.0,18360.0,2220.0,120.0,3240.0,1.40625,0.0,83.0,82,96,50,82,100.0,87.0,None,80.0
2019-07-10,89.0,100.0,98.0,96.0,86.0,69.0,94.0,57.0,34320.0,40140.0,5820.0,8220.0,19650.0,6450.0,41.0,86.0,750.0,21120.0,2019-07-09T22:33:46-05:00,2019-07-10T09:42:46-05:00,51.67,46.0,73.0,0.15,0.24,12.75,73,90,100,25,40,95,504.0,2596.0,8942.0,8576.0,32400.0,35520.0,14100.0,1740.0,960.0,1680.0,1.46875,0.0,92.0,94,99,78,75,92.0,95.0,None,100.0
